,course_id,cumgame_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,wind_coeff
260,2,0.0,54.57142857142857,1.6473553294632386,7.0,,Beau Griffin,0.0,0.839202368239644,2.775469515030452
261,0,0.0,57.8,16.16,10.0,,Jesse Miller,-0.0,0.0,0.0
262,1,-1.5769096065099738e-17,55.75,4.1875,4.0,,Jesse Miller,0.0,0.0,0.0
263,2,-0.0,57.2,7.760000000000001,5.0,,Jesse Miller,0.0,0.0,0.0
264,0,,,,,1.0,Ayton Hesterman,,,
265,1,,108.0,,,,Ayton Hesterman,,,
266,2,,,,,1.0,Ayton Hesterman,,,
267,0,,,,,1.0,Craig Brown,,,
268,1,0.0,66.66666666666667,2.7640854414604063e-05,3.0,,Craig Brown,-1.206442515824695,0.9999974615541865,-2.4624488121435033
269,2,,,,,1.0,Craig Brown,,,
270,0,,,,,1.0,Gordon Kennedy,,,
271,1,,68.0,,,,Gordon Kennedy,,,
272,2,,,,,1.0,Gordon Kennedy,,,
273,0,,,,,1.0,James Bowden,,,
274,1,,82.0,,,,James Bowden,,,
275,2,,,,,1.0,James Bowden,,,
276,0,,61.0,,,,Jamie Kennedy,,,
277,1,,67.5,,,,Jamie Kennedy,,,
278,2,,,,,1.0,Jamie Kennedy,,,
279,0,0.0,49.09090909090909,12.44628099173554,11.0,,Jeff Faes,-0.0,0.0,0.0
280,1,,50.5,,,,Jeff Faes,,,
281,2,,,,,1.0,Jeff Faes,,,
282,0,0.48980256702204955,55.0,4.292039850975246,5.0,,Keek Solorio,1.1554783413363505,0.6844088344871142,0.5848710089282453
283,1,,52.0,,,,Keek Solorio,,,
284,2,,,,,1.0,Keek Solorio,,,
285,0,,,,,1.0,Marc Atkinson,,,
286,1,0.0,71.5,16.916666666666668,6.0,,Marc Atkinson,0.0,0.0,0.0
287,2,,,,,1.0,Marc Atkinson,,,
288,0,,,,,1.0,Mark Farr,,,
289,1,-0.0,62.25,2.4841582116908185,4.0,,Mark Farr,-0.4767304749652759,0.5211261278668302,0.6669186658333902
290,2,,,,,1.0,Mark Farr,,,
291,0,1.6355024446990745,68.75,0.0008558081207405803,4.0,,Michael Infusino,1.8636022117265718,0.9999199243863636,0.32483593465815835
292,1,,63.0,,,,Michael Infusino,,,
293,2,,,,,1.0,Michael Infusino,,,
294,0,,,,,1.0,Pat Humphreys,,,
295,1,,61.0,,,,Pat Humphreys,,,
296,2,,,,,1.0,Pat Humphreys,,,
297,0,,,,,1.0,Peter Ward,,,
298,1,0.0,62.0,3.020410201810959,3.0,,Peter Ward,-0.0,0.8838303768534248,-3.36959485656168
299,2,,,,,1.0,Peter Ward,,,
300,0,,,,,1.0,Steven Johnson,,,
301,1,,59.0,,,,Steven Johnson,,,
302,2,,,,,1.0,Steven Johnson,,,
303,0,,,,,1.0,ThomasHesterman,,,
304,1,,99.0,,,,ThomasHesterman,,,
305,2,,,,,1.0,ThomasHesterman,,,
306,0,,,,,1.0,Nate Tilman,,,
307,1,,,,,1.0,Nate Tilman,,,
308,2,0.0,71.0,44.34249285671688,12.0,,Nate Tilman,0.0,0.01461126985073602,0.06748129292367158
309,0,,,,,1.0,Sidharth Kumar,,,
310,1,,,,,1.0,Sidharth Kumar,,,
311,2,,69.0,,,,Sidharth Kumar,,,
312,0,,,,,1.0,Zac Pape,,,
313,1,,,,,1.0,Zac Pape,,,
314,2,0.0,62.11764705882353,18.45674740484429,17.0,,Zac Pape,-0.0,0.0,1.3412726306052571e-17
315,0,,68.0,,,,Eddie Fitzsimmons,,,
316,1,,62.0,,,,Eddie Fitzsimmons,,,
317,2,,,,,1.0,Eddie Fitzsimmons,,,
318,0,,,,,1.0,Erik Romme,,,
319,1,,62.0,,,,Erik Romme,,,
320,2,,,,,1.0,Erik Romme,,,
321,0,,,,,1.0,Ethan Christman,,,
322,1,,58.0,,,,Ethan Christman,,,
323,2,,,,,1.0,Ethan Christman,,,
324,0,,,,,1.0,Max Shannon,,,
325,1,,66.0,,,,Max Shannon,,,
326,2,,,,,1.0,Max Shannon,,,
327,0,,,,,1.0,Ryan Cox,,,
328,1,1.2384301524643446,64.0,3.4666653313032243,3.0,,Ryan Cox,0.0,0.566666833587097,-0.0
329,2,,,,,1.0,Ryan Cox,,,
330,0,2.4715451845174403,54.4,0.13437157647940057,5.0,,Spencer Churchill,0.6528566569240501,0.9400126890716962,1.556040887955188
331,1,,55.5,,,,Spencer Churchill,,,
332,2,,,,,1.0,Spencer Churchill,,,
333,0,,,,,1.0,Tad Thrower,,,
334,1,,57.5,,,,Tad Thrower,,,
335,2,,,,,1.0,Tad Thrower,,,
336,0,,46.0,,,,Roger Cansler,,,
337,1,1.7731362788523154e-17,57.666666666666664,11.555555555555557,3.0,,Roger Cansler,0.0,0.0,-0.0
338,2,-0.09717895944096581,54.46153846153846,24.118663381154217,13.0,,Roger Cansler,-0.0,0.1553969930760336,0.624660666485605
339,0,0.0,61.0,27.428571428571427,7.0,,Andy Nguyen,-0.0,0.0,0.0
340,1,,68.0,,,,Andy Nguyen,,,
341,2,,61.0,,,,Andy Nguyen,,,
342,0,,,,,1.0,IV,,,
343,1,,63.0,,,,IV,,,
344,2,,,,,1.0,IV,,,
345,0,,,,,1.0,Joe Kestler ,,,
346,1,,57.0,,,,Joe Kestler ,,,
347,2,,,,,1.0,Joe Kestler ,,,
348,0,,,,,1.0,Travis Miranda,,,
349,1,,51.0,,,,Travis Miranda,,,
350,2,,55.0,,,,Travis Miranda,,,
351,0,,,,,1.0,Vince Madigras,,,
352,1,,55.5,,,,Vince Madigras,,,
353,2,,,,,1.0,Vince Madigras,,,
354,0,,,,,1.0,Soki Hagiwara,,,
355,1,,,,,1.0,Soki Hagiwara,,,
356,2,1.9582609974563259,65.6,1.2234094430129452,5.0,,Soki Hagiwara,0.0,0.9164337812149627,5.282732295382404
357,0,,,,,1.0,Aaron Webber,,,
358,1,,75.0,,,,Aaron Webber,,,
359,2,,,,,1.0,Aaron Webber,,,
360,0,,,,,1.0,Adam Smith,,,
361,1,,66.0,,,,Adam Smith,,,
362,2,,,,,1.0,Adam Smith,,,
363,0,,,,,1.0,Case Conover ,,,
364,1,,59.0,,,,Case Conover ,,,
365,2,,,,,1.0,Case Conover ,,,
366,0,0.858396710056237,57.833333333333336,1.0243452126860024,6.0,,Chris Hart,-0.0,0.9052019854583648,2.8650505394195616
367,1,,59.0,,,,Chris Hart,,,
368,2,,,,,1.0,Chris Hart,,,
369,0,,,,,1.0,Dustin Perez,,,
370,1,,62.0,,,,Dustin Perez,,,
371,2,,,,,1.0,Dustin Perez,,,
372,0,,,,,1.0,Erik Mayfield,,,
373,1,,56.0,,,,Erik Mayfield,,,
374,2,,,,,1.0,Erik Mayfield,,,
375,0,,,,,1.0,Greg Brezeale,,,
376,1,,58.0,,,,Greg Brezeale,,,
377,2,,,,,1.0,Greg Brezeale,,,
378,0,,,,,1.0,Greg Brezeale ,,,
379,1,,63.0,,,,Greg Brezeale ,,,
380,2,,,,,1.0,Greg Brezeale ,,,
381,0,,,,,1.0,Jamie Thomas,,,
382,1,,58.0,,,,Jamie Thomas,,,
383,2,,,,,1.0,Jamie Thomas,,,
384,0,,,,,1.0,Jeremy Mirken,,,
385,1,0.0,52.333333333333336,0.888888888888889,3.0,,Jeremy Mirken,0.0,0.0,0.0
386,2,0.0,57.666666666666664,1.5555555555555554,3.0,,Jeremy Mirken,0.0,0.0,1.0816492010683184e-17
387,0,,,,,1.0,Jess Atkinson,,,
388,1,,78.0,,,,Jess Atkinson,,,
389,2,,,,,1.0,Jess Atkinson,,,
390,0,,,,,1.0,Mark Anderson,,,
